,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,gameId,ban1,ban2,ban3,ban4,ban5
1,200,Win,False,True,True,True,False,False,8,1,1,2,0,0,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 432, 'pickTurn': 7}, {'championId': 246, 'pickTurn': 8}, {'championId': 76, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4459422810,62,432,246,76,350
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': 133, 'pickTurn': 3}, {'championId': 7, 'pickTurn': 4}, {'championId': 43, 'pickTurn': 5}]",4459393607,81,80,133,7,43
1,200,Win,True,True,False,False,True,True,5,0,0,2,0,1,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 412, 'pickTurn': 7}, {'championId': 246, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4459393607,62,412,246,104,-1
0,100,Fail,False,False,False,False,False,True,0,0,0,0,0,1,0,"[{'championId': 246, 'pickTurn': 1}, {'championId': 30, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 432, 'pickTurn': 5}]",4459196195,246,30,81,104,432
1,200,Win,True,True,True,False,True,False,8,1,0,2,0,0,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': 7, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 104, 'pickTurn': 9}, {'championId': 84, 'pickTurn': 10}]",4459196195,134,7,76,104,84
0,100,Win,False,False,False,False,False,True,8,1,1,1,0,2,0,"[{'championId': 432, 'pickTurn': 1}, {'championId': 246, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': 58, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4459088792,432,246,81,58,76
1,200,Fail,True,True,True,True,True,False,8,2,1,3,0,0,0,"[{'championId': 80, 'pickTurn': 6}, {'championId': 58, 'pickTurn': 7}, {'championId': 110, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4459088792,80,58,110,81,104
0,100,Win,False,False,True,True,False,False,6,1,1,1,0,1,0,"[{'championId': 246, 'pickTurn': 1}, {'championId': 24, 'pickTurn': 2}, {'championId': 412, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 523, 'pickTurn': 5}]",4459003122,246,24,412,81,523
1,200,Fail,True,True,False,False,True,True,4,0,0,3,0,1,0,"[{'championId': 7, 'pickTurn': 6}, {'championId': 517, 'pickTurn': 7}, {'championId': 58, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4459003122,7,517,58,-1,81
0,100,Win,False,False,True,True,False,False,9,1,2,2,0,1,0,"[{'championId': 432, 'pickTurn': 1}, {'championId': 60, 'pickTurn': 2}, {'championId': 245, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 80, 'pickTurn': 5}]",4457488999,432,60,245,76,80
1,200,Fail,True,True,False,False,True,True,5,0,0,3,0,1,0,"[{'championId': 517, 'pickTurn': 6}, {'championId': 62, 'pickTurn': 7}, {'championId': 30, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4457488999,517,62,30,412,76
0,100,Fail,False,False,False,True,True,True,5,0,1,3,0,2,0,"[{'championId': 81, 'pickTurn': 1}, {'championId': 96, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 9, 'pickTurn': 4}, {'championId': 432, 'pickTurn': 5}]",4462388165,81,96,350,9,432
1,200,Win,True,True,True,False,False,False,9,2,1,2,0,0,0,"[{'championId': 266, 'pickTurn': 6}, {'championId': 7, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4462388165,266,7,350,81,104
0,100,Fail,False,False,False,False,True,False,0,0,0,2,0,0,0,"[{'championId': 30, 'pickTurn': 1}, {'championId': 62, 'pickTurn': 2}, {'championId': 142, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",4462273456,30,62,142,245,-1
1,200,Win,True,True,True,False,False,True,5,1,0,0,0,2,0,"[{'championId': 523, 'pickTurn': 6}, {'championId': 412, 'pickTurn': 7}, {'championId': 81, 'pickTurn': 8}, {'championId': 7, 'pickTurn': 9}, {'championId': 110, 'pickTurn': 10}]",4462273456,523,412,81,7,110
0,100,Win,True,True,True,True,False,True,7,2,1,2,0,2,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': 412, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 134, 'pickTurn': 4}, {'championId': 105, 'pickTurn': 5}]",4462023144,62,412,350,134,105
1,200,Fail,False,False,False,False,True,False,3,0,0,1,0,0,0,"[{'championId': 523, 'pickTurn': 6}, {'championId': 60, 'pickTurn': 7}, {'championId': 875, 'pickTurn': 8}, {'championId': 555, 'pickTurn': 9}, {'championId': 62, 'pickTurn': 10}]",4462023144,523,60,875,555,62
0,100,Fail,True,False,False,False,False,True,1,0,0,0,0,1,0,"[{'championId': 24, 'pickTurn': 1}, {'championId': 350, 'pickTurn': 2}, {'championId': 4, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 80, 'pickTurn': 5}]",4462208666,24,350,4,245,80
1,200,Win,False,True,False,False,True,False,2,0,0,2,0,0,0,"[{'championId': 517, 'pickTurn': 6}, {'championId': 412, 'pickTurn': 7}, {'championId': 58, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4462208666,517,412,58,81,80
0,100,Win,True,True,False,True,False,True,5,0,1,1,0,2,0,"[{'championId': 39, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 432, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 89, 'pickTurn': 5}]",4462221100,39,81,432,245,89
1,200,Fail,False,False,False,False,True,False,1,0,0,2,0,0,0,"[{'championId': 412, 'pickTurn': 6}, {'championId': 62, 'pickTurn': 7}, {'championId': 82, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4462221100,412,62,82,523,80
0,100,Fail,False,False,False,True,False,False,4,0,1,0,0,0,0,"[{'championId': 64, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4462171580,64,81,104,245,110
1,200,Win,True,True,True,False,True,True,7,1,0,3,0,2,0,"[{'championId': 80, 'pickTurn': 6}, {'championId': 245, 'pickTurn': 7}, {'championId': 875, 'pickTurn': 8}, {'championId': 62, 'pickTurn': 9}, {'championId': 114, 'pickTurn': 10}]",4462171580,80,245,875,62,114
0,100,Fail,True,False,False,False,True,False,1,0,0,1,0,0,0,"[{'championId': 238, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 432, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 30, 'pickTurn': 5}]",4462076509,238,104,432,110,30
1,200,Win,False,True,True,False,False,True,8,1,0,1,0,2,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 80, 'pickTurn': 7}, {'championId': 81, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 24, 'pickTurn': 10}]",4462076509,62,80,81,350,24
0,100,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 30, 'pickTurn': 2}, {'championId': 4, 'pickTurn': 3}, {'championId': 523, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4462041781,350,30,4,523,110
1,200,Win,False,True,True,False,True,True,7,1,0,2,0,1,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 24, 'pickTurn': 8}, {'championId': 22, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4462041781,62,81,24,22,80
0,100,Win,False,False,False,False,False,False,4,0,1,4,0,1,0,"[{'championId': 30, 'pickTurn': 1}, {'championId': 246, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",4459413967,30,246,76,81,-1
1,200,Fail,True,True,True,True,True,True,6,2,2,3,0,1,0,"[{'championId': 58, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 110, 'pickTurn': 8}, {'championId': 3, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4459413967,58,-1,110,3,81
0,100,Fail,True,True,False,False,False,True,2,0,0,2,0,2,0,"[{'championId': 58, 'pickTurn': 1}, {'championId': 110, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4459318028,58,110,62,104,76
1,200,Win,False,False,True,True,True,False,9,2,1,1,0,0,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 104, 'pickTurn': 10}]",4459318028,62,-1,-1,350,104
0,100,Fail,False,True,False,False,False,True,4,0,0,0,0,1,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 84, 'pickTurn': 3}, {'championId': 429, 'pickTurn': 4}, {'championId': 58, 'pickTurn': 5}]",4459321541,62,-1,84,429,58
1,200,Win,True,False,True,True,True,False,8,2,1,4,0,1,0,"[{'championId': 523, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 246, 'pickTurn': 8}, {'championId': 142, 'pickTurn': 9}, {'championId': 58, 'pickTurn': 10}]",4459321541,523,350,246,142,58
0,100,Win,True,True,False,True,False,True,4,0,1,1,0,1,0,"[{'championId': 58, 'pickTurn': 1}, {'championId': 30, 'pickTurn': 2}, {'championId': 105, 'pickTurn': 3}, {'championId': 134, 'pickTurn': 4}, {'championId': 111, 'pickTurn': 5}]",4458651726,58,30,105,134,111
1,200,Fail,False,False,False,False,True,False,4,0,0,2,0,1,0,"[{'championId': 517, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 91, 'pickTurn': 9}, {'championId': 25, 'pickTurn': 10}]",4458651726,517,81,-1,91,25
0,100,Fail,False,False,False,False,False,False,2,0,0,2,0,0,0,"[{'championId': 62, 'pickTurn': 1}, {'championId': 30, 'pickTurn': 2}, {'championId': 80, 'pickTurn': 3}, {'championId': 60, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4458483865,62,30,80,60,110
1,200,Win,True,True,True,True,True,True,8,2,1,3,0,1,0,"[{'championId': 58, 'pickTurn': 6}, {'championId': 134, 'pickTurn': 7}, {'championId': 523, 'pickTurn': 8}, {'championId': 875, 'pickTurn': 9}, {'championId': 25, 'pickTurn': 10}]",4458483865,58,134,523,875,25
0,100,Fail,False,False,False,False,False,False,1,0,0,1,0,0,0,"[{'championId': 429, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 110, 'pickTurn': 3}, {'championId': 421, 'pickTurn': 4}, {'championId': 60, 'pickTurn': 5}]",4458173601,429,-1,110,421,60
1,200,Win,True,True,True,True,True,True,11,3,1,2,0,2,0,"[{'championId': 142, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': 81, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4458173601,142,350,81,-1,76
0,100,Fail,True,False,False,False,True,True,1,0,0,1,0,1,0,"[{'championId': 875, 'pickTurn': 1}, {'championId': 91, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 157, 'pickTurn': 4}, {'championId': 429, 'pickTurn': 5}]",4458160280,875,91,76,157,429
1,200,Win,False,True,True,False,False,False,8,1,0,2,0,1,0,"[{'championId': 76, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 120, 'pickTurn': 9}, {'championId': 142, 'pickTurn': 10}]",4458160280,76,429,350,120,142
0,100,Fail,False,False,False,True,False,True,4,0,2,2,0,1,0,"[{'championId': 110, 'pickTurn': 1}, {'championId': 39, 'pickTurn': 2}, {'championId': 30, 'pickTurn': 3}, {'championId': 432, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4459715961,110,39,30,432,104
1,200,Win,True,True,True,False,True,False,8,1,0,4,0,1,0,"[{'championId': 412, 'pickTurn': 6}, {'championId': 350, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 76, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4459715961,412,350,-1,76,80
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 203, 'pickTurn': 2}, {'championId': 517, 'pickTurn': 3}, {'championId': 60, 'pickTurn': 4}, {'championId': 157, 'pickTurn': 5}]",4459760130,134,203,517,60,157
1,200,Win,True,True,False,False,True,True,4,0,0,3,0,1,0,"[{'championId': 432, 'pickTurn': 6}, {'championId': 80, 'pickTurn': 7}, {'championId': 39, 'pickTurn': 8}, {'championId': 76, 'pickTurn': 9}, {'championId': 110, 'pickTurn': 10}]",4459760130,432,80,39,76,110
0,100,Win,False,False,True,False,False,False,10,2,1,4,0,0,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 4, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 875, 'pickTurn': 5}]",4459690353,80,523,4,-1,875
1,200,Fail,True,True,False,True,True,True,3,0,1,2,0,1,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 432, 'pickTurn': 7}, {'championId': 39, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 43, 'pickTurn': 10}]",4459690353,-1,432,39,350,43
0,100,Fail,False,True,False,False,False,True,5,0,0,2,0,2,0,"[{'championId': 235, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 432, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 39, 'pickTurn': 5}]",4459533952,235,523,432,81,39
1,200,Win,True,False,True,True,True,False,8,1,2,3,0,0,0,"[{'championId': 432, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 62, 'pickTurn': 10}]",4459533952,432,81,350,122,62
0,100,Fail,True,False,False,False,False,True,3,0,0,1,0,2,0,"[{'championId': 39, 'pickTurn': 1}, {'championId': 43, 'pickTurn': 2}, {'championId': 421, 'pickTurn': 3}, {'championId': 246, 'pickTurn': 4}, {'championId': 432, 'pickTurn': 5}]",4459458466,39,43,421,246,432
1,200,Win,False,True,True,True,True,False,8,1,1,2,0,0,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 111, 'pickTurn': 7}, {'championId': 104, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 523, 'pickTurn': 10}]",4459458466,62,111,104,110,523
0,100,Win,True,True,True,True,True,False,9,3,2,4,0,1,0,"[{'championId': 80, 'pickTurn': 1}, {'championId': 58, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': 67, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4460643695,80,58,81,67,350
1,200,Fail,False,False,False,False,False,True,1,0,0,1,0,1,0,"[{'championId': 126, 'pickTurn': 6}, {'championId': 81, 'pickTurn': 7}, {'championId': 7, 'pickTurn': 8}, {'championId': 246, 'pickTurn': 9}, {'championId': 33, 'pickTurn': 10}]",4460643695,126,81,7,246,33
0,100,Fail,True,True,False,True,False,True,6,0,1,1,0,1,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 142, 'pickTurn': 3}, {'championId': 421, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4460564402,104,523,142,421,110
1,200,Win,False,False,True,False,True,False,7,1,2,4,0,1,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 7, 'pickTurn': 7}, {'championId': 81, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 523, 'pickTurn': 10}]",4460564402,104,7,81,110,523
0,100,Win,True,True,True,False,True,False,9,2,0,4,0,0,0,"[{'championId': 429, 'pickTurn': 1}, {'championId': 134, 'pickTurn': 2}, {'championId': 39, 'pickTurn': 3}, {'championId': 523, 'pickTurn': 4}, {'championId': 60, 'pickTurn': 5}]",4460371468,429,134,39,523,60
1,200,Fail,False,False,False,False,False,True,1,0,0,0,0,1,0,"[{'championId': 43, 'pickTurn': 6}, {'championId': 7, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4460371468,43,7,62,81,350
0,100,Win,False,False,True,True,False,True,10,3,1,3,0,2,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 7, 'pickTurn': 2}, {'championId': 30, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 126, 'pickTurn': 5}]",4460261584,76,7,30,81,126
1,200,Fail,True,True,False,False,True,False,2,0,0,2,0,0,0,"[{'championId': 350, 'pickTurn': 6}, {'championId': 62, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 60, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4460261584,350,62,76,60,81
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 60, 'pickTurn': 1}, {'championId': 58, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 39, 'pickTurn': 5}]",4459874171,60,58,350,104,39
1,200,Win,True,True,True,False,True,True,8,1,0,2,0,2,0,"[{'championId': 7, 'pickTurn': 6}, {'championId': 62, 'pickTurn': 7}, {'championId': 246, 'pickTurn': 8}, {'championId': 81, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4459874171,7,62,246,81,-1
0,100,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 76, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 85, 'pickTurn': 4}, {'championId': 25, 'pickTurn': 5}]",4461012005,76,80,-1,85,25
1,200,Win,True,True,True,True,True,True,11,2,1,3,0,1,0,"[{'championId': 110, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 134, 'pickTurn': 9}, {'championId': 60, 'pickTurn': 10}]",4461012005,110,-1,62,134,60
0,100,Fail,True,False,False,False,True,True,0,0,0,1,0,1,0,"[{'championId': 104, 'pickTurn': 1}, {'championId': 62, 'pickTurn': 2}, {'championId': 203, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 4}, {'championId': 30, 'pickTurn': 5}]",4460488897,104,62,203,245,30
1,200,Win,False,True,False,False,False,False,3,0,0,1,0,0,0,"[{'championId': 142, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 76, 'pickTurn': 10}]",4460488897,142,429,62,110,76
0,100,Win,False,True,True,True,False,True,8,1,1,2,0,2,0,"[{'championId': 24, 'pickTurn': 1}, {'championId': 81, 'pickTurn': 2}, {'championId': 7, 'pickTurn': 3}, {'championId': 412, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}]",4457562267,24,81,7,412,76
1,200,Fail,True,False,False,False,True,False,1,0,0,2,0,0,0,"[{'championId': 126, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 76, 'pickTurn': 8}, {'championId': 62, 'pickTurn': 9}, {'championId': 81, 'pickTurn': 10}]",4457562267,126,-1,76,62,81
0,100,Fail,False,False,False,False,True,False,0,0,0,1,0,1,0,"[{'championId': -1, 'pickTurn': 1}, {'championId': 4, 'pickTurn': 2}, {'championId': 24, 'pickTurn': 3}, {'championId': 62, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4458251678,-1,4,24,62,104
1,200,Win,True,True,True,False,False,True,9,2,0,1,0,1,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': -1, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 110, 'pickTurn': 10}]",4458251678,134,-1,-1,523,110
0,100,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 1}, {'championId': 421, 'pickTurn': 2}, {'championId': 39, 'pickTurn': 3}, {'championId': 523, 'pickTurn': 4}, {'championId': 91, 'pickTurn': 5}]",4460467216,81,421,39,523,91
1,200,Win,True,True,True,False,True,True,8,1,0,3,0,2,0,"[{'championId': 142, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 245, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 4, 'pickTurn': 10}]",4460467216,142,875,245,350,4
0,100,Win,True,True,True,False,False,True,8,1,0,2,0,1,0,"[{'championId': 523, 'pickTurn': 1}, {'championId': 60, 'pickTurn': 2}, {'championId': 24, 'pickTurn': 3}, {'championId': 91, 'pickTurn': 4}, {'championId': 30, 'pickTurn': 5}]",4460411822,523,60,24,91,30
1,200,Fail,False,False,False,False,True,False,0,0,0,1,0,0,0,"[{'championId': 245, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 91, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4460411822,245,875,91,110,350
0,100,Fail,False,True,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 245, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 62, 'pickTurn': 5}]",4462309117,350,76,245,81,62
1,200,Win,True,False,True,True,True,True,11,3,1,4,0,2,0,"[{'championId': 110, 'pickTurn': 6}, {'championId': 80, 'pickTurn': 7}, {'championId': 2, 'pickTurn': 8}, {'championId': 24, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4462309117,110,80,2,24,-1
0,100,Fail,True,True,False,True,True,True,3,0,1,2,0,1,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 126, 'pickTurn': 2}, {'championId': 246, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4462287791,142,126,246,81,110
1,200,Win,False,False,True,False,False,False,7,1,0,1,0,1,0,"[{'championId': 62, 'pickTurn': 6}, {'championId': 142, 'pickTurn': 7}, {'championId': 432, 'pickTurn': 8}, {'championId': 60, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4462287791,62,142,432,60,350
0,100,Win,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 412, 'pickTurn': 1}, {'championId': -1, 'pickTurn': 2}, {'championId': 142, 'pickTurn': 3}, {'championId': 24, 'pickTurn': 4}, {'championId': 4, 'pickTurn': 5}]",4459321934,412,-1,142,24,4
1,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 106, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 120, 'pickTurn': 10}]",4459321934,81,106,142,523,120
0,100,Fail,True,True,False,True,False,False,4,0,1,3,0,0,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 81, 'pickTurn': 4}, {'championId': 104, 'pickTurn': 5}]",4459275142,142,76,350,81,104
1,200,Win,False,False,True,False,True,True,9,1,0,1,0,2,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 142, 'pickTurn': 8}, {'championId': 60, 'pickTurn': 9}, {'championId': 4, 'pickTurn': 10}]",4459275142,81,110,142,60,4
0,100,Fail,True,True,False,False,True,False,2,0,0,3,0,0,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 245, 'pickTurn': 2}, {'championId': 7, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 114, 'pickTurn': 5}]",4459016381,142,245,7,350,114
1,200,Win,False,False,True,True,False,True,7,1,1,0,0,1,0,"[{'championId': 81, 'pickTurn': 6}, {'championId': 154, 'pickTurn': 7}, {'championId': 7, 'pickTurn': 8}, {'championId': 523, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4459016381,81,154,7,523,350
0,100,Win,True,True,True,True,False,True,9,2,2,2,0,2,0,"[{'championId': 111, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4459383265,111,76,-1,110,81
1,200,Fail,False,False,False,False,True,False,3,0,0,3,0,0,0,"[{'championId': 24, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 875, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 412, 'pickTurn': 10}]",4459383265,24,-1,875,110,412
0,100,Fail,False,False,False,False,True,False,4,0,0,1,0,1,0,"[{'championId': 266, 'pickTurn': 1}, {'championId': 523, 'pickTurn': 2}, {'championId': 875, 'pickTurn': 3}, {'championId': 60, 'pickTurn': 4}, {'championId': 142, 'pickTurn': 5}]",4461761884,266,523,875,60,142
1,200,Win,True,True,True,True,False,True,8,1,1,3,0,1,0,"[{'championId': -1, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 60, 'pickTurn': 8}, {'championId': 412, 'pickTurn': 9}, {'championId': 80, 'pickTurn': 10}]",4461761884,-1,76,60,412,80
0,100,Win,False,True,False,False,True,True,3,0,0,2,0,1,0,"[{'championId': 142, 'pickTurn': 1}, {'championId': 58, 'pickTurn': 2}, {'championId': 25, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4461477159,142,58,25,76,81
1,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0,"[{'championId': 523, 'pickTurn': 6}, {'championId': 58, 'pickTurn': 7}, {'championId': 154, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 142, 'pickTurn': 10}]",4461477159,523,58,154,110,142
0,100,Win,True,True,False,False,False,True,4,0,0,2,0,1,0,"[{'championId': 24, 'pickTurn': 1}, {'championId': 7, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4462329292,24,7,62,-1,350
1,200,Fail,False,False,False,False,True,False,2,0,0,1,0,1,0,"[{'championId': 126, 'pickTurn': 6}, {'championId': 43, 'pickTurn': 7}, {'championId': 110, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}]",4462329292,126,43,110,-1,-1
